algo,ac_variant,n_steps,baseline,seed,episode,episode_return,episode_steps,episode_time_sec,elapsed_time_sec,eval_mean_return,eval_std_return,loss,policy_loss,value_loss,entropy,mean_return,mean_advantage,advantage
reinforce,,,50.0,2,26,3.6661992716265335,8,0.0014870166778564453,0.0834660530090332,,,-141.88430786132812,-141.88430786132812,,,1.1434969902038574,-48.85650634765625,
reinforce,,,50.0,2,27,4.3005465853779095,9,0.0016298294067382812,0.08516097068786621,,,-118.79975128173828,-118.79975128173828,,,1.339694857597351,-48.66030502319336,
reinforce,,,50.0,2,28,3.410660158310948,7,0.0012700557708740234,0.0864861011505127,,,-109.7502670288086,-109.7502670288086,,,1.3225597143173218,-48.67744064331055,
reinforce,,,50.0,2,29,4.616254839400141,7,0.0013179779052734375,0.08785390853881836,,,-134.66029357910156,-134.66029357910156,,,2.113637685775757,-47.88636016845703,
reinforce,,,50.0,2,30,3.925439200028367,9,0.0015721321105957031,0.0894920825958252,,,-86.91134643554688,-86.91134643554688,,,1.064694881439209,-48.935302734375,
reinforce,,,50.0,2,31,3.597261069867348,7,0.0012166500091552734,0.09075379371643066,,,-86.63079071044922,-86.63079071044922,,,1.4819461107254028,-48.51805877685547,
reinforce,,,50.0,2,32,4.08601490164154,7,0.0012531280517578125,0.09205293655395508,,,-108.9109115600586,-108.9109115600586,,,1.7741166353225708,-48.22588348388672,
reinforce,,,50.0,2,33,4.629697784029321,8,0.001383066177368164,0.09348297119140625,,,-145.18832397460938,-145.18832397460938,,,1.9485116004943848,-48.05148696899414,
reinforce,,,50.0,2,34,3.2385314234015223,8,0.0015268325805664062,0.09506487846374512,,,-114.80870056152344,-114.80870056152344,,,0.9195839762687683,-49.08041763305664,
reinforce,,,50.0,2,35,3.397892116726056,6,0.0010848045349121094,0.09621191024780273,,,-104.71475982666016,-104.71475982666016,,,1.520750641822815,-48.479248046875,
reinforce,,,50.0,2,36,3.124015032072553,6,0.0011148452758789062,0.0973808765411377,,,-92.54204559326172,-92.54204559326172,,,1.356377124786377,-48.643619537353516,
